datetime,time,value
21/03/2017 16:05,1.49011E+12,0
21/03/2017 16:10,1.49011E+12,1117.64622
21/03/2017 16:15,1.49011E+12,1209.50755
21/03/2017 16:20,1.49011E+12,1117.64622
21/03/2017 16:25,1.49011E+12,306.204444
21/03/2017 16:30,1.49011E+12,15.310222
21/03/2017 16:35,1.49011E+12,0
21/03/2017 16:40,1.49011E+12,122.481778
21/03/2017 16:45,1.49011E+12,382.755556
21/03/2017 16:50,1.49012E+12,1102.336
21/03/2017 16:55,1.49012E+12,796.131556
21/03/2017 17:00,1.49012E+12,0
21/03/2017 17:05,1.49012E+12,199.032889
21/03/2017 17:10,1.49012E+12,1316.67911
21/03/2017 17:15,1.49012E+12,183.722667
21/03/2017 17:20,1.49012E+12,0
21/03/2017 17:25,1.49012E+12,964.544
21/03/2017 17:30,1.49012E+12,949.233778
21/03/2017 17:35,1.49012E+12,0
21/03/2017 17:40,1.49012E+12,137.792
21/03/2017 17:45,1.49012E+12,1286.05866
21/03/2017 17:50,1.49012E+12,0
21/03/2017 17:55,1.49012E+12,0
21/03/2017 18:00,1.49012E+12,1377.92
21/03/2017 18:05,1.49012E+12,0
21/03/2017 18:10,1.49012E+12,76.551111
21/03/2017 18:15,1.49012E+12,1087.02577
21/03/2017 18:20,1.49012E+12,0
21/03/2017 18:25,1.49012E+12,459.306667
21/03/2017 18:30,1.49012E+12,857.372444
21/03/2017 18:35,1.49012E+12,0
21/03/2017 18:40,1.49012E+12,658.339556
21/03/2017 18:45,1.49012E+12,1255.43822
21/03/2017 18:50,1.49012E+12,367.445333
21/03/2017 18:55,1.49012E+12,0
21/03/2017 19:00,1.49012E+12,1041.09511
21/03/2017 19:05,1.49012E+12,459.306667
21/03/2017 19:10,1.49012E+12,0
21/03/2017 19:15,1.49012E+12,1240.128
21/03/2017 19:20,1.49012E+12,122.481778
21/03/2017 19:25,1.49012E+12,0
21/03/2017 19:30,1.49012E+12,1347.29955
21/03/2017 19:35,1.49012E+12,0
21/03/2017 19:40,1.49013E+12,0
21/03/2017 19:45,1.49013E+12,1316.67911
21/03/2017 19:50,1.49013E+12,0
21/03/2017 19:55,1.49013E+12,336.824889
21/03/2017 20:00,1.49013E+12,887.992889
21/03/2017 20:05,1.49013E+12,0
21/03/2017 20:10,1.49013E+12,780.821333
21/03/2017 20:15,1.49013E+12,566.478222
21/03/2017 20:20,1.49013E+12,0
21/03/2017 20:25,1.49013E+12,1056.40533
21/03/2017 20:30,1.49013E+12,61.240889
21/03/2017 20:35,1.49013E+12,0
21/03/2017 20:40,1.49013E+12,1331.98933
21/03/2017 20:45,1.49013E+12,0
21/03/2017 20:50,1.49013E+12,0
21/03/2017 20:55,1.49013E+12,1331.98933
21/03/2017 21:00,1.49013E+12,0
21/03/2017 21:05,1.49013E+12,107.171556
21/03/2017 21:10,1.49013E+12,903.303111
21/03/2017 21:15,1.49013E+12,0
21/03/2017 21:20,1.49013E+12,734.890667
21/03/2017 21:25,1.49013E+12,597.098667
21/03/2017 21:30,1.49013E+12,0
21/03/2017 21:35,1.49013E+12,1087.02577
21/03/2017 21:40,1.49013E+12,45.930667
21/03/2017 21:45,1.49013E+12,0
21/03/2017 21:50,1.49013E+12,1347.29955
21/03/2017 21:55,1.49013E+12,0
21/03/2017 22:00,1.49013E+12,0
21/03/2017 22:05,1.49013E+12,1071.71555
21/03/2017 22:10,1.49013E+12,0
21/03/2017 22:15,1.49013E+12,566.478222
21/03/2017 22:20,1.49013E+12,750.200889
21/03/2017 22:25,1.49014E+12,0
21/03/2017 22:30,1.49014E+12,964.544
21/03/2017 22:35,1.49014E+12,275.584
21/03/2017 22:40,1.49014E+12,0
21/03/2017 22:45,1.49014E+12,1224.81777
21/03/2017 22:50,1.49014E+12,0
21/03/2017 22:55,1.49014E+12,0
21/03/2017 23:00,1.49014E+12,1316.67911
21/03/2017 23:05,1.49014E+12,0
21/03/2017 23:10,1.49014E+12,260.273778
21/03/2017 23:15,1.49014E+12,1041.09511
21/03/2017 23:20,1.49014E+12,0
21/03/2017 23:25,1.49014E+12,719.580444
21/03/2017 23:30,1.49014E+12,597.098667
21/03/2017 23:35,1.49014E+12,0
21/03/2017 23:40,1.49014E+12,1071.71555
21/03/2017 23:45,1.49014E+12,183.722667
21/03/2017 23:50,1.49014E+12,0
21/03/2017 23:55,1.49014E+12,1316.67911
